Syndrome;Dispersers;Species
zoochory;NA;Acacia mangium
zoochory;birds;Acnistus arborescens
zoochory;mixed;Acnistus arborescens
zoochory;NA;Actinostemon concolor
zoochory;birds;Aegiphila integrifolia
zoochory;other animals;Aegiphila integrifolia
zoochory;mammals;Agonandra excelsa
zoochory;birds;Agonandra excelsa
zoochory;bats;Agonandra excelsa
zoochory;birds;Aiouea acarodomatifera
zoochory;birds;Albizia pedicellaris
zoochory;NA;Albizia pedicellaris
zoochory;vertebrates;Alchornea glandulosa
zoochory;birds;Alchornea glandulosa
zoochory;birds;Alchornea sidifolia
abiotic;NA;Aspidosperma olivaceum
abiotic;NA;Aspidosperma parvifolium
abiotic;NA;Aspidosperma polyneuron
abiotic;NA;Aspidosperma ramiflorum
zoochory;birds;Alchornea triplinervia
zoochory;NA;Allophyllus edulis
biotic;NA;Allophylus edulis
zoochory;mixed;Allophylus edulis
biotic;NA;Matayba elaeognoides
biotic;NA;Cupania vernalis
biotic;NA;Araucaria angustifolia
biotic;NA;Campomanesia xanthocarpa
biotic;NA;Casearia decandra
abiotic;NA;Cedrela fissilis
biotic;NA;Ilex paraguariensis
biotic;NA;Myrsine umbellata
biotic;NA;Prunus myrtifolia
abiotic;NA;Sapium glandolusum
biotic;NA;Schinus terebenthifolius
abiotic;NA;Vernonanthura discolor
zoochory;birds;Allophylus racemosus
zoochory;mammals;Allophylus racemosus
biotic;NA;Chrysophyllum gonocarpum
zoochory;NA;Aloysia virgata
zoochory;birds;Alseodaphne oblanceolata
zoochory;bats;Alseodaphne oblanceolata
anemochory;NA;Heliocarpus popayanensis
zoochory;birds;Amaioua intermedia
zoochory;NA;Anadenanthera colubrina
zoochory;bats;Andira fraxinifolia
zoochory;mammals;Annona cacans
zoochory;mammals;Annona sylvatica
anemochory;NA;Diatenopteryx sorbifolia
zoochory;birds;Annona sylvatica
anemochory;NA;Astronium fraxinifolium
zoochory;primates;Annona sylvatica
zoochory;birds;Apeiba tibourbou
zoochory;NA;Apeiba tibourbou
zoochory;NA;Araucaria angustifolia
autochory;NA;Albizia pedicellaris
autochory;NA;Albizia niopoides
zoochory;NA;Astronium fraxinifolium
zoochory;NA;Athenaea fasciculata
zoochory;birds;Bastardiopsis densiflora
zoochory;NA;Bathysa australis
zoochory;birds;Bernardinia fluminensis
zoochory;birds;Bixa orellana
zoochory;birds;Bunchosia maritima
autochory;NA;Croton floribundus
abiotic;NA;Aspidosperma cylindrocarpon
abiotic;NA;Aspidosperma subincanum
zoochory;birds;Cabralea canjerana
zoochory;mixed;Calophyllum brasiliense
anemochory;NA;Leucaena leucocephala
anemochory;NA;Pterocarpus rohrii
anemochory;NA;Eucalyptus urophylla
zoochory;bats;Calophyllum brasiliense
zoochory;birds;Calophyllum brasiliense
zoochory;rodents;Calophyllum brasiliense
zoochory;birds;Calyptranthes brasiliensis
zoochory;birds;Calyptranthes clusiifolia
zoochory;birds;Calyptranthes concinna
anemochory;NA;Roupala spp.
zoochory;mammals;Campomanesia guaviroba
abiotic;NA;Cordia americana
biotic;NA;Cordia ecalyculata
biotic;NA;Cordia sellowiana
biotic;NA;Cordia superba
zoochory;mammals;Campomanesia guazumifolia
anemochory;NA;Alseis floribunda
zoochory;mammals;Campomanesia xanthocarpa
zoochory;mixed;Campomanesia xanthocarpa
zoochory;mixed;Casearia decandra
zoochory;birds;Casearia decandra
zoochory;birds;Casearia gossypiosperma
zoochory;birds;Casearia lasiophylla
zoochory;birds;Casearia obliqua
zoochory;NA;Casearia sp.
zoochory;birds;Casearia sylvestris
zoochory;mixed;Cecropia glaziovii
zoochory;mixed;Cecropia pachystachya
zoochory;birds;Cecropia pachystachya
zoochory;bats;Cecropia pachystachya
zoochory;other mammals;Cecropia pachystachya
autochory;NA;Senegalia polyphylla
autochory;NA;Actinostemon concolor
zoochory;birds;Cecropia spp.
zoochory;NA;Cedrela fissilis
zoochory;NA;Celtis brasiliensis
zoochory;NA;Celtis ehrenbergiana
zoochory;mammals;Celtis iguanaea
zoochory;mammals;Cestrum intermedium
autochory;NA;Alseis floribunda
zoochory;birds;Chionanthus filiformis
anemochory;NA;Anadenanthera colubrina
anemochory;NA;Anadenanthera peregrina
zoochory;birds;Chomelia pohliana
zoochory;mammals;Chrysophyllum flexuosum
zoochory;mammals;Chrysophyllum gonocarpum
anemochory;NA;Aspidosperma cylindrocarpon
anemochory;NA;Aspidosperma parvifolium
anemochory;NA;Aspidosperma polyneuron
anemochory;NA;Aspidosperma ramiflorum
anemochory;NA;Aspidosperma subincanum
anemochory;NA;Astronium graveolens
zoochory;insects;Chrysophyllum gonocarpum
anemochory;NA;Balfourodendron riedelianum
zoochory;birds;Chrysophyllum gonocarpum
zoochory;mixed;Chrysophyllum gonocarpum
zoochory;mammals;Chrysophyllum marginatum
anemochory;NA;Bauhinia forficata
anemochory;NA;Bauhinia longifolia
zoochory;birds;Chrysophyllum marginatum
zoochory;NA;Chrysophyllum spp.
anemochory;NA;Pachira glabra
zoochory;mixed;Citharexylum myrianthum
zoochory;birds;Citharexylum myrianthum
zoochory;birds;Citronella paniculata
autochory;NA;Libidibia ferrea
autochory;NA;Cenostigma pluviosum
autochory;NA;Calliandra tweedii
anemochory;NA;Callisthene minor
zoochory;NA;Clethra scabra
zoochory;NA;Coccoloba cordata
zoochory;mammals;Coccoloba mollis
zoochory;NA;Coccoloba warmingii
zoochory;NA;Coffea arabica
zoochory;NA;Colubrina glandulosa
zoochory;mixed;Copaifera langsdorffii
zoochory;birds;Copaifera langsdorffii
zoochory;other animals;Copaifera langsdorffii
zoochory;mammals;Cordia ecalyculata
anemochory;NA;Cariniana estrellensis
anemochory;NA;Cariniana legalis
zoochory;mixed;Cordia sellowiana
zoochory;birds;Cordia sellowiana
zoochory;bats;Cordia sellowiana
zoochory;mammals;Cordia superba
zoochory;mixed;Cordia trichoclada
autochory;NA;Cassia ferruginea
zoochory;NA;Cordia trichotoma
zoochory;mixed;Coussarea contracta
zoochory;mammals;Cryptocarya moschata
anemochory;NA;Cedrela fissilis
anemochory;NA;Cedrela odorata
anemochory;NA;Ceiba speciosa
zoochory;mixed;Cryptocarya moschata
anemochory;NA;Centrolobium robustum
anemochory;NA;Centrolobium tomentosum
zoochory;mammals;Cryptocarya saligna
zoochory;birds;Cupania oblongifolia
zoochory;birds;Cupania tenuivalvis
zoochory;birds;Cupania vernalis
zoochory;bats;Cupania vernalis
zoochory;birds;Daphnopsis racemosa
zoochory;NA;Dasyphyllum brasiliense
zoochory;birds;Dendropanax cuneatus
zoochory;NA;Diatenopteryx sorbifolia
anemochory;NA;Clethra scabra
autochory;NA;Clitoria fairchildiana
zoochory;birds;Dilodendron bipinnatum
autochory;NA;Colubrina glandulosa
zoochory;mammals;Diospyros inconstans
zoochory;mammals;Dipteryx alata
zoochory;bats;Dipteryx alata
anemochory;NA;Cordia trichotoma
zoochory;primates;Dipteryx alata
zoochory;mammals;Duguetia lanceolata
zoochory;mammals;Ecclinusa ramiflora
anemochory;NA;Coutarea hexandra
autochory;NA;Croton urucurana
zoochory;birds;Endlicheria paniculata
zoochory;mixed;Endlicheria paniculata
zoochory;mammals;Enterolobium contortisiliquum
zoochory;NA;Eriobotrya japonica
zoochory;birds;Erythrina speciosa
anemochory;NA;Cyclolobium brasiliense
anemochory;NA;Dahlstedtia pinnata
anemochory;NA;Dalbergia frutescens
anemochory;NA;Dalbergia miscolobium
anemochory;NA;Dalbergia nigra
anemochory;NA;Dalbergia villosa
zoochory;birds;Erythroxylum cuspidifolium
anemochory;NA;Dasyphyllum brasiliense
zoochory;birds;Erythroxylum deciduum
zoochory;birds;Erythroxylum pelleterianum
zoochory;NA;Esenbeckia grandiflora
zoochory;NA;Eugenia bahiensis
zoochory;NA;Eugenia cf.
zoochory;mammals;Eugenia dodonaeifolia
zoochory;birds;Eugenia expansa
zoochory;mammals;Eugenia florida
zoochory;birds;Eugenia florida
zoochory;other animals;Eugenia florida
zoochory;birds;Eugenia hiemalis
anemochory;NA;Eriotheca pentaphylla
autochory;NA;Erythrina crista-galli
autochory;NA;Erythrina falcata
autochory;NA;Erythrina speciosa
autochory;NA;Erythrina velutina
zoochory;NA;Eugenia ligustrina
zoochory;NA;Eugenia monosperma
zoochory;birds;Eugenia oblongata
zoochory;NA;Eugenia paracatuana
anemochory;NA;Esenbeckia febrifuga
anemochory;NA;Esenbeckia grandiflora
anemochory;NA;Esenbeckia leiocarpa
zoochory;NA;Eugenia platysema
zoochory;birds;Eugenia pluriflora
zoochory;mammals;Eugenia pyriformis
zoochory;birds;Eugenia repanda
zoochory;mammals;Eugenia speciosa
zoochory;mammals;Eugenia supraaxillaris
zoochory;birds;Eugenia supraaxillaris
zoochory;birds;Eugenia uniflora
zoochory;birds;Euterpe edulis
autochory;NA;Galipea jasminiflora
anemochory;NA;Gallesia integrifolia
zoochory;mixed;Euterpe edulis
zoochory;birds;Faramea latifolia
zoochory;mixed;Ficus aff.
anemochory;NA;Moquiniastrum polymorphum
zoochory;mixed;Ficus guaranitica
zoochory;mixed;Ficus insipida
zoochory;mixed;Ficus obtusifolia
zoochory;mixed;Ficus sp.
zoochory;NA;Gallesia integrifolia
zoochory;mammals;Garcinia brasiliensis
zoochory;mammals;Garcinia gardneriana
zoochory;mixed;Genipa americana
zoochory;birds;Geonoma gamiova
zoochory;birds;Guapira hirsuta
zoochory;birds;Guapira noxia
anemochory;NA;Helicteres ovata
anemochory;NA;Helietta apiculata
zoochory;other animals;Guapira noxia
zoochory;birds;Guapira opposita
zoochory;birds;Guarea guidonia
zoochory;birds;Guarea kunthiana
zoochory;mixed;Guarea kunthiana
zoochory;birds;Guarea macrophylla
zoochory;NA;Guarea spp.
zoochory;birds;Guatteria australis
zoochory;birds;Guazuma ulmifolia
zoochory;mammals;Guazuma ulmifolia
zoochory;NA;Gymnanthes klotzschiana
zoochory;NA;Handroanthus impetiginosus
zoochory;birds;Hedyosmum brasiliense
zoochory;mixed;Heisteria silvianii
anemochory;NA;Jacaranda cuspidifolia
anemochory;NA;Jacaranda macrantha
anemochory;NA;Jacaranda puberula
zoochory;NA;Helietta apiculata
zoochory;birds;Hirtella gracilipes
zoochory;bats;Hirtella gracilipes
anemochory;NA;Lafoensia pacari
anemochory;NA;Lafoensia glyptocarpa
autochory;NA;Lafoensia pacari
anemochory;NA;Lamanonia ternata
anemochory;NA;Leucochloron incuriale
zoochory;other animals;Hirtella gracilipes
zoochory;mammals;Hirtella hebeclada
anemochory;NA;Muellera campestris
anemochory;NA;Lonchocarpus cultratus
anemochory;NA;Dahlstedtia muehlbergiana
anemochory;NA;Luehea candicans
anemochory;NA;Luehea divaricata
anemochory;NA;Luehea grandiflora
anemochory;NA;Luehea paniculata
autochory;NA;Mabea fistulifera
anemochory;NA;Machaerium acutifolium
anemochory;NA;Machaerium brasiliense
anemochory;NA;Machaerium hirtum
anemochory;NA;Machaerium nyctitans
anemochory;NA;Machaerium scleroxylon
anemochory;NA;Machaerium stipitatum
anemochory;NA;Machaerium villosum
zoochory;bats;Holocalyx balansae
zoochory;NA;Hovenia dulcis
zoochory;mixed;Hyeronima alchorneoides
zoochory;mammals;Hymenaea courbaril
zoochory;birds;Ilex paraguariensis
zoochory;birds;Ilex theezans
zoochory;mammals;Inga edulis
zoochory;mammals;Inga laurina
zoochory;mixed;Inga laurina
zoochory;mammals;Inga marginata
zoochory;mammals;Inga vera
zoochory;birds;Ixora brevifolia
autochory;NA;Metrodorea nigra
autochory;NA;Metrodorea stipularis
zoochory;NA;Jacaranda puberula
zoochory;mammals;Jacaratia spinosa
zoochory;mammals;Joannesia princeps
zoochory;birds;Lacistema hasslerianum
zoochory;NA;Lafoensia pacari
zoochory;NA;Lamanonia ternata
zoochory;birds;Lantana camara
zoochory;NA;Libidibia ferrea
zoochory;mammals;Licania tomentosa
zoochory;birds;Licaria armeniaca
